Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,5,0.81,0.81,-0.020382189878034702
TF-IDF Corpus,6,0.01,0.01,-0.020580542704062437
TF-IDF Corpus,6,0.01,0.21000000000000002,-0.020580542704062437
TF-IDF Corpus,6,0.01,0.41000000000000003,-0.020580542704062437
TF-IDF Corpus,6,0.01,0.6100000000000001,-0.020580542704062437
TF-IDF Corpus,6,0.01,0.81,-0.020580542704062437
TF-IDF Corpus,6,0.21000000000000002,0.01,-0.020580542704062437
TF-IDF Corpus,6,0.21000000000000002,0.21000000000000002,-0.020580542704062437
TF-IDF Corpus,6,0.21000000000000002,0.41000000000000003,-0.020580542704062437
TF-IDF Corpus,6,0.21000000000000002,0.6100000000000001,-0.020580542704062437
TF-IDF Corpus,6,0.21000000000000002,0.81,-0.020580542704062437
TF-IDF Corpus,6,0.41000000000000003,0.01,-0.020630681663571165
TF-IDF Corpus,6,0.41000000000000003,0.21000000000000002,-0.020630681663571165
TF-IDF Corpus,6,0.41000000000000003,0.41000000000000003,-0.020630681663571165
TF-IDF Corpus,6,0.41000000000000003,0.6100000000000001,-0.020630681663571165
TF-IDF Corpus,6,0.41000000000000003,0.81,-0.020630681663571165
TF-IDF Corpus,6,0.6100000000000001,0.01,-0.020630681663571165
TF-IDF Corpus,6,0.6100000000000001,0.21000000000000002,-0.020630681663571165
TF-IDF Corpus,6,0.6100000000000001,0.41000000000000003,-0.020630681663571165
TF-IDF Corpus,6,0.6100000000000001,0.6100000000000001,-0.020630681663571165
TF-IDF Corpus,6,0.6100000000000001,0.81,-0.020630681663571165
TF-IDF Corpus,6,0.81,0.01,-0.020630681663571165
TF-IDF Corpus,6,0.81,0.21000000000000002,-0.020630681663571165
TF-IDF Corpus,6,0.81,0.41000000000000003,-0.020630681663571165
TF-IDF Corpus,6,0.81,0.6100000000000001,-0.020630681663571165
TF-IDF Corpus,6,0.81,0.81,-0.020630681663571165
TF-IDF Corpus,7,0.01,0.01,-0.019393591729447268
TF-IDF Corpus,7,0.01,0.21000000000000002,-0.019393591729447268
TF-IDF Corpus,7,0.01,0.41000000000000003,-0.019393591729447268
TF-IDF Corpus,7,0.01,0.6100000000000001,-0.019393591729447268
TF-IDF Corpus,7,0.01,0.81,-0.019393591729447268
TF-IDF Corpus,7,0.21000000000000002,0.01,-0.019415386869953474
TF-IDF Corpus,7,0.21000000000000002,0.21000000000000002,-0.019415386869953474
TF-IDF Corpus,7,0.21000000000000002,0.41000000000000003,-0.019415386869953474
TF-IDF Corpus,7,0.21000000000000002,0.6100000000000001,-0.019415386869953474
TF-IDF Corpus,7,0.21000000000000002,0.81,-0.019415386869953474
