Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,3,0.4,0.5000000000000001,-3.518751468559488
TF-IDF Corpus,3,0.4,0.7000000000000001,-3.518751468559488
TF-IDF Corpus,3,0.4,0.9000000000000001,-3.518751468559488
TF-IDF Corpus,3,0.5,0.1,-3.8233761635841437
TF-IDF Corpus,3,0.5,0.30000000000000004,-3.8233761635841437
TF-IDF Corpus,3,0.5,0.5000000000000001,-3.8233761635841437
TF-IDF Corpus,3,0.5,0.7000000000000001,-3.8233761635841437
TF-IDF Corpus,3,0.5,0.9000000000000001,-3.8233761635841437
TF-IDF Corpus,3,0.6,0.1,-3.460153974587564
TF-IDF Corpus,3,0.6,0.30000000000000004,-3.460153974587564
TF-IDF Corpus,3,0.6,0.5000000000000001,-3.460153974587564
TF-IDF Corpus,3,0.6,0.7000000000000001,-3.460153974587564
TF-IDF Corpus,3,0.6,0.9000000000000001,-3.460153974587564
TF-IDF Corpus,3,0.7000000000000001,0.1,-3.378603814470736
TF-IDF Corpus,3,0.7000000000000001,0.30000000000000004,-3.378603814470736
TF-IDF Corpus,3,0.7000000000000001,0.5000000000000001,-3.378603814470736
TF-IDF Corpus,3,0.7000000000000001,0.7000000000000001,-3.378603814470736
TF-IDF Corpus,3,0.7000000000000001,0.9000000000000001,-3.378603814470736
TF-IDF Corpus,3,0.8,0.1,-3.2844218663215794
TF-IDF Corpus,3,0.8,0.30000000000000004,-3.2844218663215794
TF-IDF Corpus,3,0.8,0.5000000000000001,-3.2844218663215794
TF-IDF Corpus,3,0.8,0.7000000000000001,-3.2844218663215794
TF-IDF Corpus,3,0.8,0.9000000000000001,-3.2844218663215794
TF-IDF Corpus,3,0.9,0.1,-3.2817703045175173
TF-IDF Corpus,3,0.9,0.30000000000000004,-3.2817703045175173
TF-IDF Corpus,3,0.9,0.5000000000000001,-3.2817703045175173
TF-IDF Corpus,3,0.9,0.7000000000000001,-3.2817703045175173
TF-IDF Corpus,3,0.9,0.9000000000000001,-3.2817703045175173
TF-IDF Corpus,4,0.1,0.1,-6.338718271808693
TF-IDF Corpus,4,0.1,0.30000000000000004,-6.338718271808693
TF-IDF Corpus,4,0.1,0.5000000000000001,-6.338718271808693
TF-IDF Corpus,4,0.1,0.7000000000000001,-6.338718271808693
TF-IDF Corpus,4,0.1,0.9000000000000001,-6.338718271808693
TF-IDF Corpus,4,0.2,0.1,-5.879010564947601
TF-IDF Corpus,4,0.2,0.30000000000000004,-5.879010564947601
TF-IDF Corpus,4,0.2,0.5000000000000001,-5.879010564947601
TF-IDF Corpus,4,0.2,0.7000000000000001,-5.879010564947601
TF-IDF Corpus,4,0.2,0.9000000000000001,-5.879010564947601
TF-IDF Corpus,4,0.30000000000000004,0.1,-5.795242215750724
TF-IDF Corpus,4,0.30000000000000004,0.30000000000000004,-5.795242215750724
TF-IDF Corpus,4,0.30000000000000004,0.5000000000000001,-5.795242215750724
TF-IDF Corpus,4,0.30000000000000004,0.7000000000000001,-5.795242215750724
TF-IDF Corpus,4,0.30000000000000004,0.9000000000000001,-5.795242215750724
TF-IDF Corpus,4,0.4,0.1,-4.981829415534812
TF-IDF Corpus,4,0.4,0.30000000000000004,-4.981829415534812
TF-IDF Corpus,4,0.4,0.5000000000000001,-4.981829415534812
TF-IDF Corpus,4,0.4,0.7000000000000001,-4.981829415534812
TF-IDF Corpus,4,0.4,0.9000000000000001,-4.981829415534812
TF-IDF Corpus,4,0.5,0.1,-4.043439404178614
TF-IDF Corpus,4,0.5,0.30000000000000004,-4.043439404178614
TF-IDF Corpus,4,0.5,0.5000000000000001,-4.043439404178614
TF-IDF Corpus,4,0.5,0.7000000000000001,-4.043439404178614
TF-IDF Corpus,4,0.5,0.9000000000000001,-4.043439404178614
TF-IDF Corpus,4,0.6,0.1,-3.3535236140165545
TF-IDF Corpus,4,0.6,0.30000000000000004,-3.3535236140165545
TF-IDF Corpus,4,0.6,0.5000000000000001,-3.3535236140165545
TF-IDF Corpus,4,0.6,0.7000000000000001,-3.3535236140165545
